spikegadget,xcoord,ycoord,sh
0,-21.4,349.45,0
1,0,1351.4,0
2,0,1165,0
3,0,1398,0
4,0,1071.8,0
5,0,1304.8,0
6,0,1491.2,0
7,-21.4,302.85,0
8,0,1817.4,0
9,0,1118.4,0
10,0,1025.2,0
11,0,1910.6,0
12,-21.4,23.25,0
13,0,1444.6,0
14,-21.4,116.45,0
15,0,1864,0
16,0,978.6,0
17,0,1631,0
18,-21.4,69.85,0
19,0,1770.8,0
20,0,1677.6,0
21,-21.4,163.05,0
22,0,1724.2,0
23,-21.4,1933.85,0
24,-21.4,1095.05,0
25,-21.4,209.65,0
26,-21.4,1048.45,0
27,0,1584.4,0
28,-21.4,1001.85,0
29,0,1537.8,0
30,-21.4,1887.25,0
31,0,1258.2,0
32,-21.4,256.25,0
33,0,1211.6,0
34,-21.4,442.65,0
35,-21.4,489.25,0
36,-21.4,1794.05,0
37,-21.4,1747.45,0
38,-21.4,396.05,0
39,-21.4,1700.85,0
40,-21.4,1840.65,0
41,-21.4,1654.25,0
42,-21.4,535.85,0
43,-21.4,1607.65,0
44,-21.4,582.45,0
45,-21.4,1561.05,0
46,-21.4,629.05,0
47,-21.4,1514.45,0
48,-21.4,1467.85,0
49,-21.4,675.65,0
50,-21.4,1421.25,0
51,-21.4,722.25,0
52,-21.4,1374.65,0
53,-21.4,768.85,0
54,-21.4,1328.05,0
55,-21.4,815.45,0
56,-21.4,1281.45,0
57,-21.4,862.05,0
58,-21.4,1234.85,0
59,-21.4,908.65,0
60,-21.4,1188.25,0
61,-21.4,955.25,0
62,-21.4,1141.65,0
63,-21.4,1980.45,0
64,21.4,1794.05,0
65,21.4,1188.25,0
66,21.4,1933.85,0
67,21.4,1234.85,0
68,21.4,1980.45,0
69,21.4,1281.45,0
70,21.4,955.25,0
71,21.4,1328.05,0
72,21.4,908.65,0
73,21.4,1374.65,0
74,21.4,862.05,0
75,21.4,1421.25,0
76,21.4,815.45,0
77,21.4,1467.85,0
78,21.4,768.85,0
79,21.4,1514.45,0
80,21.4,1561.05,0
81,21.4,722.25,0
82,21.4,1607.65,0
83,21.4,675.65,0
84,21.4,1654.25,0
85,21.4,629.05,0
86,21.4,1700.85,0
87,21.4,582.45,0
88,21.4,1747.45,0
89,0,139.8,0
90,21.4,489.25,0
91,21.4,535.85,0
92,0,233,0
93,0,186.4,0
94,0,1957.2,0
95,0,932,0
96,21.4,256.25,0
97,21.4,1887.25,0
98,0,559.2,0
99,21.4,1048.45,0
100,0,512.6,0
101,21.4,1095.05,0
102,21.4,302.85,0
103,21.4,1141.65,0
104,21.4,1840.65,0
105,0,372.8,0
106,21.4,349.45,0
107,0,466,0
108,0,326.2,0
109,21.4,442.65,0
110,0,419.4,0
111,21.4,163.05,0
112,0,605.8,0
113,21.4,396.05,0
114,0,745.6,0
115,21.4,209.65,0
116,0,652.4,0
117,21.4,116.45,0
118,21.4,23.25,0
119,0,279.6,0
120,0,46.6,0
121,0,699,0
122,0,885.4,0
123,21.4,69.85,0
124,0,792.2,0
125,0,0,0
126,0,838.8,0
127,0,93.2,0
