intan,xcoord,ycoord,sh
0,900,700,3
1,900,675,3
2,900,650,3
3,900,625,3
4,900,600,3
5,900,575,3
6,900,550,3
7,900,525,3
8,900,500,3
9,900,475,3
10,900,450,3
11,900,425,3
12,900,400,3
13,900,25,3
14,600,400,2
15,600,25,2
16,600,675,2
17,900,325,3
18,900,775,3
19,900,750,3
20,900,725,3
21,600,325,2
22,600,275,2
23,600,775,2
24,600,625,2
25,600,200,2
26,600,125,2
27,600,175,2
28,600,550,2
29,600,500,2
30,600,50,2
31,600,100,2
32,600,75,2
33,600,475,2
34,600,525,2
35,600,575,2
36,600,150,2
37,600,375,2
38,600,600,2
39,600,650,2
40,600,750,2
41,600,300,2
42,600,350,2
43,600,725,2
44,900,350,3
45,600,700,2
46,600,250,2
47,600,225,2
48,600,0,2
49,600,425,2
50,900,0,3
51,600,450,2
52,900,50,3
53,900,75,3
54,900,100,3
55,900,125,3
56,900,150,3
57,900,175,3
58,900,200,3
59,900,225,3
60,900,250,3
61,900,275,3
62,900,300,3
63,900,375,3
64,0,525,0
65,0,550,0
66,0,575,0
67,0,600,0
68,0,625,0
69,0,650,0
70,0,675,0
71,0,700,0
72,0,725,0
73,0,750,0
74,0,775,0
75,0,450,0
76,300,50,1
77,0,425,0
78,300,0,1
79,300,425,1
80,300,575,1
81,300,600,1
82,300,150,1
83,0,500,0
84,300,175,1
85,300,700,1
86,300,625,1
87,300,200,1
88,300,250,1
89,300,300,1
90,300,725,1
91,300,550,1
92,300,325,1
93,300,375,1
94,300,75,1
95,300,475,1
96,300,500,1
97,300,450,1
98,300,100,1
99,300,350,1
100,300,775,1
101,300,525,1
102,300,750,1
103,300,275,1
104,300,225,1
105,300,650,1
106,300,675,1
107,0,50,0
108,0,0,0
109,0,25,0
110,0,475,0
111,300,125,1
112,300,400,1
113,300,25,1
114,0,400,0
115,0,375,0
116,0,350,0
117,0,325,0
118,0,300,0
119,0,275,0
120,0,250,0
121,0,225,0
122,0,200,0
123,0,175,0
124,0,150,0
125,0,125,0
126,0,100,0
127,0,75,0
