ripple	xcoord	ycoord	sh
1	600	750	2
2	600	675	2
3	600	375	2
4	600	725	2
5	900	750	3
6	600	275	2
7	900	375	3
8	600	225	2
9	900	350	3
10	600	600	2
11	900	325	3
12	600	650	2
13	900	300	3
14	600	575	2
15	900	275	3
16	600	150	2
17	900	250	3
18	600	0	2
19	900	225	3
20	600	500	2
21	900	200	3
22	600	450	2
23	900	175	3
24	900	50	3
25	900	150	3
26	900	25	3
27	900	125	3
28	900	0	3
29	900	100	3
30	900	450	3
31	900	75	3
32	600	100	2
33	900	400	3
34	600	550	2
35	900	475	3
36	600	525	2
37	900	500	3
38	600	75	2
39	900	525	3
40	900	425	3
41	900	550	3
42	600	50	2
43	900	575	3
44	600	425	2
45	900	600	3
46	600	475	2
47	900	625	3
48	600	25	2
49	900	650	3
50	600	125	2
51	900	675	3
52	600	175	2
53	900	700	3
54	600	400	2
55	900	725	3
56	600	625	2
57	600	325	2
58	600	200	2
59	900	775	3
60	600	250	2
61	600	350	2
62	600	300	2
63	600	775	2
64	600	700	2
65	300	350	1
66	300	300	1
67	300	775	1
68	300	700	1
69	0	350	0
70	300	400	1
71	300	725	1
72	300	450	1
73	0	325	0
74	300	225	1
75	0	0	0
76	300	50	1
77	0	25	0
78	300	475	1
79	0	50	0
80	300	525	1
81	0	75	0
82	300	575	1
83	0	100	0
84	300	150	1
85	0	125	0
86	300	75	1
87	0	150	0
88	300	600	1
89	0	175	0
90	0	275	0
91	0	200	0
92	300	625	1
93	0	225	0
94	300	175	1
95	0	250	0
96	300	200	1
97	0	700	0
98	300	650	1
99	0	675	0
100	0	300	0
101	0	650	0
102	0	750	0
103	0	625	0
104	0	775	0
105	0	600	0
106	0	725	0
107	0	575	0
108	300	100	1
109	0	550	0
110	300	125	1
111	0	525	0
112	300	550	1
113	0	500	0
114	300	500	1
115	0	475	0
116	300	25	1
117	0	450	0
118	300	250	1
119	0	425	0
120	300	0	1
121	0	400	0
122	300	425	1
123	0	375	0
124	300	675	1
125	300	750	1
126	300	325	1
127	300	375	1
128	300	275	1
